id,room_id,start_at,end_at,user_id,rssi
1432,1,2022-10-11 11:08:50,2022-10-11 11:24:49,12,-69
1433,1,2022-10-11 11:27:07,2022-10-11 14:08:51,12,-76
1434,1,2022-10-11 11:47:37,2022-10-11 14:47:32,11,-68
1435,1,2022-10-11 12:35:28,2022-10-11 14:47:32,15,-66
1436,1,2022-10-11 15:03:27,2022-10-11 15:10:17,15,-79
1437,1,2022-10-11 15:03:27,2022-10-11 16:50:27,2,-57
1438,1,2022-10-11 15:03:27,2022-10-11 17:13:18,11,-63
1439,1,2022-10-11 15:12:34,2022-10-12 00:09:44,15,-77
1440,1,2022-10-11 16:04:54,2022-10-11 17:13:18,4,-79
1441,1,2022-10-11 16:52:44,2022-10-11 18:14:47,2,-59
1442,1,2022-10-11 17:15:35,2022-10-11 18:12:30,4,-69
1443,1,2022-10-11 17:15:35,2022-10-11 18:10:13,11,-72
1444,1,2022-10-12 00:12:01,2022-10-12 02:21:35,15,-74
1445,1,2022-10-12 02:23:52,2022-10-12 05:34:51,15,-76
1446,5,2022-10-12 08:27:53,2022-10-12 08:29:40,1,-85
1447,1,2022-10-12 08:29:41,2022-10-12 08:34:00,1,-82
1448,5,2022-10-12 08:34:01,2022-10-12 18:09:12,1,-68
1449,1,2022-10-12 12:21:23,2022-10-12 17:26:02,6,-77
1450,1,2022-10-12 12:39:34,2022-10-12 12:50:57,4,-66
1451,1,2022-10-12 12:46:24,2022-10-12 12:50:57,5,-70
1452,1,2022-10-12 13:56:51,2022-10-12 14:03:40,4,-70
1453,1,2022-10-12 13:56:51,2022-10-12 14:35:31,5,-63
1454,1,2022-10-12 14:05:57,2022-10-12 14:33:15,4,-82
1455,1,2022-10-12 15:55:05,2022-10-12 16:51:56,4,-84
1456,1,2022-10-12 15:57:22,2022-10-12 15:59:39,5,-86
1457,1,2022-10-12 16:54:13,2022-10-12 17:23:46,4,-66
1458,1,2022-10-13 06:57:45,2022-10-13 11:40:02,9,-68
1459,1,2022-10-13 08:05:55,2022-10-13 08:53:47,1,-69
1460,1,2022-10-13 08:37:47,2022-10-13 08:51:30,2,-61
1461,1,2022-10-13 08:40:04,2022-10-13 08:51:30,6,-61
1462,5,2022-10-13 08:56:10,2022-10-13 17:48:32,1,-73
1463,2,2022-10-13 09:33:53,2022-10-13 09:41:39,2,-93
1464,2,2022-10-13 10:35:56,2022-10-13 10:38:31,6,-94
1465,1,2022-10-13 11:03:37,2022-10-13 11:28:39,20,-72
1466,1,2022-10-13 11:03:38,2022-10-13 11:28:40,22,-92
1467,2,2022-10-13 11:37:58,2022-10-13 11:40:02,6,-92
1468,2,2022-10-13 11:37:58,2022-10-13 11:40:03,2,-88
1469,1,2022-10-13 11:40:03,2022-10-13 11:44:37,5,-70
1470,1,2022-10-13 11:40:03,2022-10-13 14:35:19,6,-59
1471,1,2022-10-13 11:40:04,2022-10-13 13:56:36,2,-61
1472,1,2022-10-13 12:00:32,2022-10-13 12:41:33,20,-73
1473,1,2022-10-13 12:00:32,2022-10-13 12:05:06,22,-63
1474,1,2022-10-13 12:07:23,2022-10-13 12:34:43,22,-62
